"Industrial Production, Original and Seasonally Adjusted by Country and Month"

"Country","Month","Industrial Production index, original, 2010=100"
"Albania","2021M11",..
"Albania","2021M12",..
"Albania","2022M01",..
"Albania","2022M02",..
"Albania","2022M03",..
"Albania","2022M04",..
"Albania","2022M05",..
"Albania","2022M06",..
"Albania","2022M07",..
"Albania","2022M08",..
"Albania","2022M09",..
"Albania","2022M10",..
"Albania","2022M11",..
"Albania","2022M12",..
"Albania","2023M01",..
"Albania","2023M02",..
"Albania","2023M03",..
"Albania","2023M04",..
"Albania","2023M05",..
"Albania","2023M06",..
"Albania","2023M07",..
"Albania","2023M08",..
"Albania","2023M09",..
"Albania","2023M10",..
"Albania","2023M11",..
"Albania","2023M12",..
"Albania","2024M01",..
"Albania","2024M02",..
"Albania","2024M03",..
"Albania","2024M04",..
"Albania","2024M05",..
"Albania","2024M06",..
"Albania","2024M07",..
"Albania","2024M08",..
"Albania","2024M09",..
"Albania","2024M10",..
"Albania","2024M11",..
"Albania","2024M12",..
"Andorra","2000M01",..
"Andorra","2000M02",..
"Andorra","2000M03",..
"Andorra","2000M04",..
"Andorra","2000M05",..
"Andorra","2000M06",..
"Andorra","2000M07",..
"Andorra","2000M08",..
"Andorra","2000M09",..
"Andorra","2000M10",..
"Andorra","2000M11",..
"Andorra","2000M12",..
"Andorra","2001M01",..
"Andorra","2001M02",..
"Andorra","2001M03",..
"Andorra","2001M04",..
"Andorra","2001M05",..
"Andorra","2001M06",..
"Andorra","2001M07",..
"Andorra","2001M08",..
"Andorra","2001M09",..
"Andorra","2001M10",..
"Andorra","2001M11",..
"Andorra","2001M12",..
"Andorra","2002M01",..
"Andorra","2002M02",..
"Andorra","2002M03",..
"Andorra","2002M04",..
"Andorra","2002M05",..
"Andorra","2002M06",..
"Andorra","2002M07",..
"Andorra","2002M08",..
"Andorra","2002M09",..
"Andorra","2002M10",..
"Andorra","2002M11",..
"Andorra","2002M12",..
"Andorra","2003M01",..
"Andorra","2003M02",..
"Andorra","2003M03",..
"Andorra","2003M04",..
"Andorra","2003M05",..
"Andorra","2003M06",..
"Andorra","2003M07",..
"Andorra","2003M08",..
"Andorra","2003M09",..
"Andorra","2003M10",..
"Andorra","2003M11",..
"Andorra","2003M12",..
"Andorra","2004M01",..
"Andorra","2004M02",..
"Andorra","2004M03",..
"Andorra","2004M04",..
"Andorra","2004M05",..
"Andorra","2004M06",..
"Andorra","2004M07",..
"Andorra","2004M08",..
"Andorra","2004M09",..
"Andorra","2004M10",..
"Andorra","2004M11",..
"Andorra","2004M12",..
"Andorra","2005M01",..
"Andorra","2005M02",..
"Andorra","2005M03",..
"Andorra","2005M04",..
"Andorra","2005M05",..
"Andorra","2005M06",..
"Andorra","2005M07",..
"Andorra","2005M08",..
"Andorra","2005M09",..
"Andorra","2005M10",..
"Andorra","2005M11",..
"Andorra","2005M12",..
"Andorra","2006M01",..
"Andorra","2006M02",..
"Andorra","2006M03",..
"Andorra","2006M04",..
"Andorra","2006M05",..
"Andorra","2006M06",..
"Andorra","2006M07",..
"Andorra","2006M08",..
"Andorra","2006M09",..
"Andorra","2006M10",..
"Andorra","2006M11",..
"Andorra","2006M12",..
"Andorra","2007M01",..
"Andorra","2007M02",..
"Andorra","2007M03",..
"Andorra","2007M04",..
"Andorra","2007M05",..
"Andorra","2007M06",..
"Andorra","2007M07",..
"Andorra","2007M08",..
"Andorra","2007M09",..
"Andorra","2007M10",..
"Andorra","2007M11",..
"Andorra","2007M12",..
"Andorra","2008M01",..
"Andorra","2008M02",..
"Andorra","2008M03",..
"Andorra","2008M04",..
"Andorra","2008M05",..
"Andorra","2008M06",..
"Andorra","2008M07",..
"Andorra","2008M08",..
"Andorra","2008M09",..
"Andorra","2008M10",..
"Andorra","2008M11",..
"Andorra","2008M12",..
"Andorra","2009M01",..
"Andorra","2009M02",..
"Andorra","2009M03",..
"Andorra","2009M04",..
"Andorra","2009M05",..
"Andorra","2009M06",..
"Andorra","2009M07",..
"Andorra","2009M08",..
"Andorra","2009M09",..
"Andorra","2009M10",..
"Andorra","2009M11",..
"Andorra","2009M12",..
"Andorra","2010M01",..
"Andorra","2010M02",..
"Andorra","2010M03",..
"Andorra","2010M04",..
"Andorra","2010M05",..
"Andorra","2010M06",..
"Andorra","2010M07",..
"Andorra","2010M08",..
"Andorra","2010M09",..
"Andorra","2010M10",..
"Andorra","2010M11",..
"Andorra","2010M12",..
"Andorra","2011M01",..
"Andorra","2011M02",..
"Andorra","2011M03",..
"Andorra","2011M04",..
"Andorra","2011M05",..
"Andorra","2011M06",..
"Andorra","2011M07",..
"Andorra","2011M08",..
"Andorra","2011M09",..
"Andorra","2011M10",..
"Andorra","2011M11",..
"Andorra","2011M12",..
"Andorra","2012M01",..
"Andorra","2012M02",..
"Andorra","2012M03",..
"Andorra","2012M04",..
"Andorra","2012M05",..
"Andorra","2012M06",..
"Andorra","2012M07",..
"Andorra","2012M08",..
"Andorra","2012M09",..
"Andorra","2012M10",..
"Andorra","2012M11",..
"Andorra","2012M12",..
"Andorra","2013M01",..
"Andorra","2013M02",..
"Andorra","2013M03",..
"Andorra","2013M04",..
"Andorra","2013M05",..
"Andorra","2013M06",..
"Andorra","2013M07",..
"Andorra","2013M08",..
"Andorra","2013M09",..
"Andorra","2013M10",..
"Andorra","2013M11",..
"Andorra","2013M12",..
"Andorra","2014M01",..
"Andorra","2014M02",..
"Andorra","2014M03",..
"Andorra","2014M04",..
"Andorra","2014M05",..
"Andorra","2014M06",..
"Andorra","2014M07",..
"Andorra","2014M08",..
"Andorra","2014M09",..
"Andorra","2014M10",..
"Andorra","2014M11",..
"Andorra","2014M12",..
"Andorra","2015M01",..
"Andorra","2015M02",..
"Andorra","2015M03",..
"Andorra","2015M04",..
"Andorra","2015M05",..
"Andorra","2015M06",..
"Andorra","2015M07",..
"Andorra","2015M08",..
"Andorra","2015M09",..
"Andorra","2015M10",..
"Andorra","2015M11",..
"Andorra","2015M12",..
"Andorra","2016M01",..
"Andorra","2016M02",..
"Andorra","2016M03",..
"Andorra","2016M04",..
"Andorra","2016M05",..
"Andorra","2016M06",..
"Andorra","2016M07",..
"Andorra","2016M08",..
"Andorra","2016M09",..
"Andorra","2016M10",..
"Andorra","2016M11",..
"Andorra","2016M12",..
"Andorra","2017M01",..
"Andorra","2017M02",..
"Andorra","2017M03",..
"Andorra","2017M04",..
"Andorra","2017M05",..
"Andorra","2017M06",..
"Andorra","2017M07",..
"Andorra","2017M08",..
"Andorra","2017M09",..
"Andorra","2017M10",..
"Andorra","2017M11",..
"Andorra","2017M12",..
"Andorra","2018M01",..
"Andorra","2018M02",..
"Andorra","2018M03",..
"Andorra","2018M04",..
"Andorra","2018M05",..
"Andorra","2018M06",..
"Andorra","2018M07",..
"Andorra","2018M08",..
"Andorra","2018M09",..
"Andorra","2018M10",..
"Andorra","2018M11",..
"Andorra","2018M12",..
"Andorra","2019M01",..
"Andorra","2019M02",..
"Andorra","2019M03",..
"Andorra","2019M04",..
"Andorra","2019M05",..
"Andorra","2019M06",..
"Andorra","2019M07",..
"Andorra","2019M08",..
"Andorra","2019M09",..
"Andorra","2019M10",..
"Andorra","2019M11",..
"Andorra","2019M12",..
"Andorra","2020M01",..
"Andorra","2020M02",..
"Andorra","2020M03",..
"Andorra","2020M04",..
"Andorra","2020M05",..
"Andorra","2020M06",..
"Andorra","2020M07",..
"Andorra","2020M08",..
"Andorra","2020M09",..
"Andorra","2020M10",..
"Andorra","2020M11",..
"Andorra","2020M12",..
"Andorra","2021M01",..
"Andorra","2021M02",..
"Andorra","2021M03",..
"Andorra","2021M04",..
"Andorra","2021M05",..
"Andorra","2021M06",..
"Andorra","2021M07",..
"Andorra","2021M08",..
"Andorra","2021M09",..
"Andorra","2021M10",..
"Andorra","2021M11",..
"Andorra","2021M12",..
"Andorra","2022M01",..
"Andorra","2022M02",..
"Andorra","2022M03",..
"Andorra","2022M04",..
"Andorra","2022M05",..
"Andorra","2022M06",..
"Andorra","2022M07",..
"Andorra","2022M08",..
"Andorra","2022M09",..
"Andorra","2022M10",..
"Andorra","2022M11",..
"Andorra","2022M12",..
"Andorra","2023M01",..
"Andorra","2023M02",..
"Andorra","2023M03",..
"Andorra","2023M04",..
"Andorra","2023M05",..
"Andorra","2023M06",..
"Andorra","2023M07",..
"Andorra","2023M08",..
"Andorra","2023M09",..
"Andorra","2023M10",..
"Andorra","2023M11",..
"Andorra","2023M12",..
"Andorra","2024M01",..
"Andorra","2024M02",..
"Andorra","2024M03",..
"Andorra","2024M04",..
"Andorra","2024M05",..
"Andorra","2024M06",..
"Andorra","2024M07",..
"Andorra","2024M08",..
"Andorra","2024M09",..
"Andorra","2024M10",..
"Andorra","2024M11",..
"Andorra","2024M12",..
"Armenia","2000M01",59.4
"Armenia","2000M02",66.2
"Armenia","2000M03",71.4
"Armenia","2000M04",62.4
"Armenia","2000M05",71.9
"Armenia","2000M06",74.6
"Armenia","2000M07",77.1
"Armenia","2000M08",80.0
"Armenia","2000M09",77.1
"Armenia","2000M10",76.4
"Armenia","2000M11",75.3
"Armenia","2000M12",92.9
"Armenia","2001M01",73.0
"Armenia","2001M02",69.6
"Armenia","2001M03",72.1
"Armenia","2001M04",64.4
"Armenia","2001M05",64.5
"Armenia","2001M06",67.0
"Armenia","2001M07",72.7
"Armenia","2001M08",77.4
"Armenia","2001M09",80.4
"Armenia","2001M10",68.7
"Armenia","2001M11",72.9
"Armenia","2001M12",114.2
"Armenia","2002M01",76.9
"Armenia","2002M02",77.4
"Armenia","2002M03",94.9
"Armenia","2002M04",83.2
"Armenia","2002M05",81.6
"Armenia","2002M06",85.7
"Armenia","2002M07",91.5
"Armenia","2002M08",83.9
"Armenia","2002M09",108.8
"Armenia","2002M10",114.1
"Armenia","2002M11",106.7
"Armenia","2002M12",126.0
"Armenia","2003M01",107.1
"Armenia","2003M02",99.6
"Armenia","2003M03",109.0
"Armenia","2003M04",104.0
"Armenia","2003M05",110.5
"Armenia","2003M06",114.5
"Armenia","2003M07",107.6
"Armenia","2003M08",109.7
"Armenia","2003M09",127.4
"Armenia","2003M10",123.1
"Armenia","2003M11",111.4
"Armenia","2003M12",114.2
"Armenia","2004M01",97.6
"Armenia","2004M02",93.2
"Armenia","2004M03",110.6
"Armenia","2004M04",117.8
"Armenia","2004M05",102.3
"Armenia","2004M06",114.3
"Armenia","2004M07",108.7
"Armenia","2004M08",107.5
"Armenia","2004M09",114.3
"Armenia","2004M10",118.3
"Armenia","2004M11",111.4
"Armenia","2004M12",114.8
"Armenia","2005M01",93.8
"Armenia","2005M02",106.1
"Armenia","2005M03",118.6
"Armenia","2005M04",114.6
"Armenia","2005M05",118.3
"Armenia","2005M06",125.6
"Armenia","2005M07",128.9
"Armenia","2005M08",115.0
"Armenia","2005M09",121.7
"Armenia","2005M10",126.2
"Armenia","2005M11",128.0
"Armenia","2005M12",128.0
"Armenia","2006M01",93.9
"Armenia","2006M02",106.3
"Armenia","2006M03",105.7
"Armenia","2006M04",118.3
"Armenia","2006M05",117.3
