country,month,unemployment_rate
Ukraine,2000M02,
Ukraine,2000M03,11.5
Ukraine,2000M04,
Ukraine,2000M05,
Ukraine,2000M06,11.5
Ukraine,2000M07,
Ukraine,2000M08,
Ukraine,2000M09,11.7
Ukraine,2000M10,
Ukraine,2000M11,
Ukraine,2000M12,12.2
Ukraine,2001M01,
Ukraine,2001M02,
Ukraine,2001M03,12.1
Ukraine,2001M04,
Ukraine,2001M05,
Ukraine,2001M06,10.6
Ukraine,2001M07,
Ukraine,2001M08,
Ukraine,2001M09,10.3
Ukraine,2001M10,
Ukraine,2001M11,
Ukraine,2001M12,11.2
Ukraine,2002M01,
Ukraine,2002M02,
Ukraine,2002M03,10.5
Ukraine,2002M04,
Ukraine,2002M05,
Ukraine,2002M06,9.6
Ukraine,2002M07,
Ukraine,2002M08,
Ukraine,2002M09,9.1
Ukraine,2002M10,
Ukraine,2002M11,
Ukraine,2002M12,9.3
Ukraine,2003M01,
Ukraine,2003M02,
Ukraine,2003M03,9.4
Ukraine,2003M04,
Ukraine,2003M05,
Ukraine,2003M06,8.7
Ukraine,2003M07,
Ukraine,2003M08,
Ukraine,2003M09,9.1
Ukraine,2003M10,
Ukraine,2003M11,
Ukraine,2003M12,9
Ukraine,2004M01,
Ukraine,2004M02,
Ukraine,2004M03,9.3
Ukraine,2004M04,
Ukraine,2004M05,
Ukraine,2004M06,8.3
Ukraine,2004M07,
Ukraine,2004M08,
Ukraine,2004M09,8.1
Ukraine,2004M10,
Ukraine,2004M11,
Ukraine,2004M12,8.7
Ukraine,2005M01,
Ukraine,2005M02,
Ukraine,2005M03,8.7
Ukraine,2005M04,
Ukraine,2005M05,
Ukraine,2005M06,7.1
Ukraine,2005M07,
Ukraine,2005M08,
Ukraine,2005M09,5.2
Ukraine,2005M10,
Ukraine,2005M11,
Ukraine,2005M12,7.8
Ukraine,2006M01,
Ukraine,2006M02,
Ukraine,2006M03,7.9
Ukraine,2006M04,
Ukraine,2006M05,
Ukraine,2006M06,5.8
Ukraine,2006M07,
Ukraine,2006M08,
Ukraine,2006M09,5.5
Ukraine,2006M10,
Ukraine,2006M11,
Ukraine,2006M12,8.2
Ukraine,2007M01,
Ukraine,2007M02,
Ukraine,2007M03,7.4
Ukraine,2007M04,
Ukraine,2007M05,
Ukraine,2007M06,5.8
Ukraine,2007M07,
Ukraine,2007M08,
Ukraine,2007M09,5.4
Ukraine,2007M10,
Ukraine,2007M11,
Ukraine,2007M12,6.9
Ukraine,2008M01,
Ukraine,2008M02,
Ukraine,2008M03,7.1
Ukraine,2008M04,
Ukraine,2008M05,
Ukraine,2008M06,5.4
Ukraine,2008M07,
Ukraine,2008M08,
Ukraine,2008M09,5.5
Ukraine,2008M10,
Ukraine,2008M11,
Ukraine,2008M12,7.5
Ukraine,2009M01,
Ukraine,2009M02,
Ukraine,2009M03,9.5
Ukraine,2009M04,
Ukraine,2009M05,
Ukraine,2009M06,8.6
Ukraine,2009M07,
Ukraine,2009M08,
Ukraine,2009M09,7.8
Ukraine,2009M10,
Ukraine,2009M11,
Ukraine,2009M12,9.4
Ukraine,2010M01,
Ukraine,2010M02,
Ukraine,2010M03,9
Ukraine,2010M04,
Ukraine,2010M05,
Ukraine,2010M06,7.9
Ukraine,2010M07,
Ukraine,2010M08,
Ukraine,2010M09,7.1
Ukraine,2010M10,
Ukraine,2010M11,
Ukraine,2010M12,8.4
Ukraine,2011M01,
Ukraine,2011M02,
Ukraine,2011M03,8.7
Ukraine,2011M04,
Ukraine,2011M05,
Ukraine,2011M06,7.7
Ukraine,2011M07,
Ukraine,2011M08,
Ukraine,2011M09,6.9
Ukraine,2011M10,
Ukraine,2011M11,
Ukraine,2011M12,8.2
Ukraine,2012M01,
Ukraine,2012M02,
Ukraine,2012M03,8.4
Ukraine,2012M04,
Ukraine,2012M05,
Ukraine,2012M06,7.1
Ukraine,2012M07,
Ukraine,2012M08,
Ukraine,2012M09,6.6
Ukraine,2012M10,
Ukraine,2012M11,
Ukraine,2012M12,8
Ukraine,2013M01,
Ukraine,2013M02,
Ukraine,2013M03,8
Ukraine,2013M04,
Ukraine,2013M05,
Ukraine,2013M06,6.9
Ukraine,2013M07,
Ukraine,2013M08,
Ukraine,2013M09,6.2
Ukraine,2013M10,
Ukraine,2013M11,
Ukraine,2013M12,7.6
Ukraine,2014M01,
Ukraine,2014M02,
Ukraine,2014M03,9
Ukraine,2014M04,
Ukraine,2014M05,
Ukraine,2014M06,8.2
Ukraine,2014M07,
Ukraine,2014M08,
Ukraine,2014M09,9.5
Ukraine,2014M10,
Ukraine,2014M11,
Ukraine,2014M12,10.6
Ukraine,2015M01,
Ukraine,2015M02,
Ukraine,2015M03,9.6
Ukraine,2015M04,
Ukraine,2015M05,
Ukraine,2015M06,8.8
Ukraine,2015M07,
Ukraine,2015M08,
Ukraine,2015M09,8.6
Ukraine,2015M10,
Ukraine,2015M11,
Ukraine,2015M12,9.5
Ukraine,2016M01,
Ukraine,2016M02,
Ukraine,2016M03,9.9
Ukraine,2016M04,
Ukraine,2016M05,
Ukraine,2016M06,9
Ukraine,2016M07,
Ukraine,2016M08,
Ukraine,2016M09,8.8
Ukraine,2016M10,
Ukraine,2016M11,
Ukraine,2016M12,9.7
Ukraine,2017M01,
Ukraine,2017M02,
Ukraine,2017M03,10.1
Ukraine,2017M04,
Ukraine,2017M05,
Ukraine,2017M06,9.1
Ukraine,2017M07,
Ukraine,2017M08,
Ukraine,2017M09,8.9
Ukraine,2017M10,
Ukraine,2017M11,
Ukraine,2017M12,9.9
Ukraine,2018M01,
Ukraine,2018M02,
Ukraine,2018M03,9.7
Ukraine,2018M04,
Ukraine,2018M05,
Ukraine,2018M06,8.3
Ukraine,2018M07,
Ukraine,2018M08,
Ukraine,2018M09,8
Ukraine,2018M10,
Ukraine,2018M11,
Ukraine,2018M12,9.3
Ukraine,2019M01,
Ukraine,2019M02,
Ukraine,2019M03,9.1
Ukraine,2019M04,
Ukraine,2019M05,
Ukraine,2019M06,7.7
Ukraine,2019M07,
Ukraine,2019M08,
Ukraine,2019M09,7.2
Ukraine,2019M10,
Ukraine,2019M11,
Ukraine,2019M12,8.7
Ukraine,2020M01,
Ukraine,2020M02,
Ukraine,2020M03,8.5
Ukraine,2020M04,
Ukraine,2020M05,
Ukraine,2020M06,9.8
Ukraine,2020M07,
Ukraine,2020M08,
Ukraine,2020M09,9.5
Ukraine,2020M10,
Ukraine,2020M11,
Ukraine,2020M12,10.1
Ukraine,2021M01,
Ukraine,2021M02,
Ukraine,2021M03,10.4
Ukraine,2021M04,
Ukraine,2021M05,
Ukraine,2021M06,9.3
Ukraine,2021M07,
Ukraine,2021M08,
Ukraine,2021M09,9.1
Ukraine,2021M10,
Ukraine,2021M11,
Ukraine,2021M12,10.5
Ukraine,2022M01,
Ukraine,2022M02,
Ukraine,2022M03,
Ukraine,2022M04,
Ukraine,2022M05,
Ukraine,2022M06,
Ukraine,2022M07,
Ukraine,2022M08,
Ukraine,2022M09,
Ukraine,2022M10,
Ukraine,2022M11,
Ukraine,2022M12,
Ukraine,2023M01,
Ukraine,2023M02,
Ukraine,2023M03,
Ukraine,2023M04,
Ukraine,2023M05,
Ukraine,2023M06,
Ukraine,2023M07,
Ukraine,2023M08,
Ukraine,2023M09,
Ukraine,2023M10,
Ukraine,2023M11,
Ukraine,2023M12,
Ukraine,2024M01,
Ukraine,2024M02,
Ukraine,2024M03,
Ukraine,2024M04,
Ukraine,2024M05,
Ukraine,2024M06,
Ukraine,2024M07,
Ukraine,2024M08,
Ukraine,2024M09,
Ukraine,2024M10,
Ukraine,2024M11,
Ukraine,2024M12,
Ukraine,2025M01,
Ukraine,2025M02,
