"Exchange Rate (XR) by Country, Indicator and Month"

"Country","Month","Exchange Rate, NCU per Euro"
"Albania","2017M07",132.6580
"Albania","2017M08",132.5030
"Albania","2017M09",133.5637
"Albania","2017M10",133.7174
"Albania","2017M11",133.8303
"Albania","2017M12",133.2229
"Albania","2018M01",133.6099
"Albania","2018M02",132.5966
"Albania","2018M03",131.2978
"Albania","2018M04",129.2659
"Albania","2018M05",126.8840
"Albania","2018M06",125.8554
"Albania","2018M07",125.8969
"Albania","2018M08",125.6843
"Albania","2018M09",126.4078
"Albania","2018M10",125.1608
"Albania","2018M11",124.6192
"Albania","2018M12",123.4404
"Albania","2019M01",124.3521
"Albania","2019M02",124.5516
"Albania","2019M03",124.9209
"Albania","2019M04",124.2639
"Albania","2019M05",122.9840
"Albania","2019M06",121.9876
"Albania","2019M07",121.8533
"Albania","2019M08",121.2506
"Albania","2019M09",121.5229
"Albania","2019M10",123.1653
"Albania","2019M11",122.7318
"Albania","2019M12",122.1827
"Albania","2020M01",122.1667
"Albania","2020M02",122.0720
"Albania","2020M03",123.9960
"Albania","2020M04",125.3856
"Albania","2020M05",124.0597
"Albania","2020M06",124.2431
"Albania","2020M07",124.3953
"Albania","2020M08",123.8822
"Albania","2020M09",124.0684
"Albania","2020M10",124.0697
"Albania","2020M11",123.9493
"Albania","2020M12",123.6339
"Albania","2021M01",123.6733
"Albania","2021M02",123.6632
"Albania","2021M03",123.2865
"Albania","2021M04",123.2511
"Albania","2021M05",122.9685
"Albania","2021M06",122.7924
"Albania","2021M07",122.2721
"Albania","2021M08",121.5774
"Albania","2021M09",121.6102
"Albania","2021M10",121.7401
"Albania","2021M11",122.0294
"Albania","2021M12",120.7867
"Albania","2022M01",121.4302
"Albania","2022M02",121.3792
"Albania","2022M03",122.9532
"Albania","2022M04",120.8374
"Albania","2022M05",120.5332
"Albania","2022M06",119.6640
"Albania","2022M07",117.3555
"Albania","2022M08",116.9553
"Albania","2022M09",116.8763
"Albania","2022M10",117.1858
"Albania","2022M11",117.4640
"Albania","2022M12",114.9089
"Albania","2023M01",116.1964
"Albania","2023M02",115.6970
"Albania","2023M03",114.4524
"Albania","2023M04",112.3602
"Albania","2023M05",111.1280
"Albania","2023M06",107.3713
"Albania","2023M07",103.2622
"Albania","2023M08",105.6943
"Albania","2023M09",106.8803
"Albania","2023M10",105.7568
"Albania","2023M11",104.4099
"Albania","2023M12",102.6603
"Albania","2024M01",103.9586
"Albania","2024M02",103.9400
"Albania","2024M03",103.6312
"Albania","2024M04",101.5233
"Albania","2024M05",100.5298
"Albania","2024M06",100.2905
"Albania","2024M07",100.3036
"Albania","2024M08",99.9670
"Albania","2024M09",99.3225
"Albania","2024M10",98.6588
"Albania","2024M11",98.0653
"Albania","2024M12",98.7740
"Andorra","2000M01",1.0000
"Andorra","2000M02",1.0000
"Andorra","2000M03",1.0000
"Andorra","2000M04",1.0000
"Andorra","2000M05",1.0000
"Andorra","2000M06",1.0000
"Andorra","2000M07",1.0000
"Andorra","2000M08",1.0000
"Andorra","2000M09",1.0000
"Andorra","2000M10",1.0000
"Andorra","2000M11",1.0000
"Andorra","2000M12",1.0000
"Andorra","2001M01",1.0000
"Andorra","2001M02",1.0000
"Andorra","2001M03",1.0000
"Andorra","2001M04",1.0000
"Andorra","2001M05",1.0000
"Andorra","2001M06",1.0000
"Andorra","2001M07",1.0000
"Andorra","2001M08",1.0000
"Andorra","2001M09",1.0000
"Andorra","2001M10",1.0000
"Andorra","2001M11",1.0000
"Andorra","2001M12",1.0000
